tt2267998	nm0000399	David Fincher	2014-10-03	$61000000	$338819589	$37513109
tt3949660	nm1757777	Dave Green	2016-06-01	$135000000	$236573787	$165685
tt0796366	nm0009190	J.J. Abrams	2009-05-20	$150000000	$385680446	$75204289
tt5325452	nm1347153	Tyler Perry	2016-10-21	$20000000	$74158913	$28501448
tt2609758	nm1347153	Tyler Perry	2013-12-13	$25000000	0	$16000000
tt0929632	nm0200005	Lee Daniels	2009-11-20	$10000000	0	$10881772
tt3704700	nm3584506	Gerard Barrett	2016-09-14	0	0	0
tt2070862	nm1347153	Tyler Perry	2013-03-29	0	$53125354	$21641679
tt1712170	nm0003418	Rob Cohen	2012-10-19	$35000000	$34588412	$11396768
tt0778661	nm1347153	Tyler Perry	2007-02-14	$10000000	0	$13064075
tt0906108	nm1347153	Tyler Perry	2007-10-12	$15000000	0	$21353759
tt0422093	nm0335337	Darren Grant	2005-02-25	$5500000	$50652203	$21905089
tt0455612	nm1347153	Tyler Perry	2006-02-24	$6000000	$63308879	$30030661
tt2465140	nm1347153	Tyler Perry	2014-03-14	$8000000	0	$8075111
tt1787759	nm1347153	Tyler Perry	2011-04-22	$25000000	$54161287	$25068677
tt1391137	nm1347153	Tyler Perry	2010-04-02	$20000000	$60673972	$29289537
tt1405500	nm1347153	Tyler Perry	2010-11-05	0	0	$19497324
tt1142800	nm1347153	Tyler Perry	2009-02-20	0	0	$41030947
tt1385912	nm1347153	Tyler Perry	2009-09-11	$13000000	0	$23446785
tt2215285	nm1347153	Tyler Perry	2012-06-29	$20000000	$66899242	$25390575
tt1885265	nm1347153	Tyler Perry	2012-02-24	0	$35578791	$15583924
tt1142798	nm1347153	Tyler Perry	2008-09-12	0	0	$17381218
tt3685836	nm1347153	Tyler Perry	2014-04-22	0	0	0
tt1047494	nm1347153	Tyler Perry	2008-03-21	0	0	$20082809
tt1699755	nm1202276	Tina Gordon Chism	2013-05-10	$15000000	0	$4611534
tt2670016	nm1347153	Tyler Perry	2013-02	0	0	0
tt4185364	nm0547772	Frank Marino	2015-01-20	0	0	0
tt2209514	nm1347153	Tyler Perry	2012-06	0	0	0
tt1965073	nm0094290	Angi Bones	2011-09-16	0	0	0
tt1965073	nm4375142	Isaias Casta̱eda	2011-09-16	0	0	0
tt1954579	nm4494424	Darryl Pitts	2012-02-07	$130000	0	0
